,idx_2004,No_2004,Type_2004,State_2004,Winning Candidate_2004,Party_2004,Electors_2004,Votes_2004,Turnout_2004,Margin_2004,Margin %_2004,idx_2009,No_2009,Type_2009,State_2009,Winning Candidate_2009,Party_2009,Electors_2009,Votes_2009,Turnout_2009,Margin_2009,Margin %_2009,idx,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %,idx_2019,No_2019,Type_2019,State_2019,Winning Candidate_2019,Party_2019,Electors_2019,Votes_2019,Turnout_2019,Margin_2019,Margin %_2019,idx_2024,No_2024,Type_2024,State_2024,Winning Candidate_2024,Party_2024,Electors_2024,Votes_2024,Turnout_2024,Margin_2024,Margin %_2024
Adilabad,1.0,35.0,GEN,Andhra Pradesh,Madhusudhan Reddy Takkala,Telangana Rashtra Samithi,"11,40,834","8,30,601",72.8 %,"40,974",4.9%,1.0,1.0,ST,Andhra Pradesh,Rathod Ramesh,Telugu Desam,1131211.0,863248.0,76.3 %,115087.0,13.3%,1.0,1.0,ST,Telangana,Godam Nagesh,Telangana Rashtra Samithi,1386233.0,1045839.0,75.4 %,171290.0,16.4%,1.0,1.0,ST,Telangana,Soyam Bapu Rao,Bharatiya Janta Party,"13,82,837","10,63,730",77.9 %,"58,560",5.5%,1.0,1.0,ST,Telangana,Godam Nagesh,Bharatiya Janta Party,"16,50,175","12,35,597",74.9 %,"90,652",7.3%
Adoor,2.0,17.0,GEN,Kerala,Chengara Surendran,Communist Party Of India,"9,60,122","6,82,227",71.1 %,"54,534",8.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agra,3.0,69.0,GEN,Uttar Pradesh [2000 Onwards],Raj Babbar,Samajwadi Party,"14,30,713","6,42,675",44.9 %,"57,342",8.9%,2.0,18.0,SC,Uttar Pradesh [2000 Onwards],Dr. Ramshankar,Bharatiya Janta Party,1539683.0,648793.0,42.1 %,9715.0,1.5%,2.0,18.0,SC,Uttar Pradesh [2000 Onwards],Dr. Ram Shankar Katheria,Bharatiya Janta Party,1814739.0,1070400.0,59.0 %,300263.0,28.1%,2.0,18.0,SC,Uttar Pradesh [2000 Onwards],Satyapal Singh Baghel,Bharatiya Janta Party,"18,66,262","11,45,323",61.7 %,"2,11,546",18.5%,2.0,18.0,SC,Uttar Pradesh [2000 Onwards],Prof S P Singh Baghel,Bharatiya Janta Party,"20,72,685","11,23,779",54.2 %,"2,71,294",24.1%
Ahmadnagar,,,,,,,,,,,,3.0,37.0,GEN,Maharashtra,Gandhi Dilipkumar Mansukhlal,Bharatiya Janta Party,1517951.0,787153.0,51.9 %,46731.0,5.9%,3.0,37.0,GEN,Maharashtra,Gandhi Dilipkumar Mansukhlal,Bharatiya Janta Party,1699408.0,1062318.0,62.5 %,209122.0,19.7%,3.0,37.0,GEN,Maharashtra,Dr. Sujay Radhakrishna Vikhepatil,Bharatiya Janta Party,"17,93,677","12,03,797",67.3 %,"2,81,474",23.4%,3.0,37.0,GEN,Maharashtra,Nilesh Dnyandev Lanke,Nationalist Congress Party – Sharadchandra Pawar,"19,81,866","13,25,477",66.9 %,"28,929",2.2%
Ahmedabad West,,,,,,,,,,,,5.0,8.0,SC,Gujarat,Dr. Solanki Kiritbhai Premajibhai,Bharatiya Janta Party,1431080.0,690071.0,48.2 %,91127.0,13.2%,5.0,8.0,SC,Gujarat,Dr. Kirit P Solanki,Bharatiya Janta Party,1534400.0,964609.0,62.9 %,320311.0,33.2%,5.0,8.0,SC,Gujarat,Dr. Kirit P. Solanki,Bharatiya Janta Party,"15,80,673","9,97,024",64.0 %,"3,21,546",32.3%,5.0,8.0,SC,Gujarat,Dineshbhai Makwana (ADVOCATE),Bharatiya Janta Party,"17,26,987","9,66,646",56.0 %,"2,86,437",29.6%
Ahmednagar,5.0,39.0,GEN,Maharashtra,Gadakh Tukaram Gangadhar,Nationalist Congress Party,"12,95,593","6,86,554",53.0 %,"75,077",10.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajmer,6.0,12.0,GEN,Rajasthan,Rasa Singh Rawat,Bharatiya Janta Party,"12,03,803","5,29,138",44.0 %,"1,27,976",24.2%,6.0,13.0,GEN,Rajasthan,Sachin Pilot,Indian National Congress,1455339.0,771272.0,53.0 %,76135.0,9.9%,6.0,13.0,GEN,Rajasthan,Sanwar Lal Jat,Bharatiya Janta Party,1683292.0,1156314.0,68.7 %,171983.0,14.9%,6.0,13.0,GEN,Rajasthan,Bhagirath Chaudhary,Bharatiya Janta Party,"18,44,532","12,62,214",69.0 %,"4,16,424",33.0%,6.0,13.0,GEN,Rajasthan,Bhagirath Choudhary,Bharatiya Janta Party,"19,95,699","12,01,179",60.2 %,"3,29,991",27.5%
Akbarpur,7.0,23.0,GEN,Uttar Pradesh [2000 Onwards],Maya Wati,Bahujan Samaj Party,"14,46,088","7,41,543",51.3 %,"58,269",7.9%,7.0,44.0,GEN,Uttar Pradesh [2000 Onwards],Rajaram Pal,Indian National Congress,1461050.0,637264.0,43.6 %,32043.0,5.0%,7.0,44.0,GEN,Uttar Pradesh [2000 Onwards],Devendra Singh @ Bhole Singh,Bharatiya Janta Party,1768623.0,971375.0,54.9 %,278997.0,28.7%,7.0,44.0,GEN,Uttar Pradesh [2000 Onwards],Devendra Singh 'bhole',Bharatiya Janta Party,"17,14,490","10,25,314",60.3 %,"2,75,142",26.8%,7.0,44.0,GEN,Uttar Pradesh [2000 Onwards],Devendra Singh Alias Bhole Singh,Bharatiya Janta Party,"18,69,167","10,86,953",58.2 %,"44,345",4.1%
Akola,8.0,19.0,GEN,Maharashtra,Dhotre Sanjay Shamrao,Bharatiya Janta Party,"12,71,055","7,34,524",57.8 %,"1,06,371",14.5%,8.0,6.0,GEN,Maharashtra,Dhotre Sanjay Shamrao,Bharatiya Janta Party,1480606.0,740014.0,50.0 %,64848.0,8.8%,8.0,6.0,GEN,Maharashtra,Dhotre Sanjay Shamrao,Bharatiya Janta Party,1646463.0,978491.0,59.4 %,203116.0,20.8%,8.0,6.0,GEN,Maharashtra,Dhotre Sanjay Shamrao,Bharatiya Janta Party,"17,57,645","11,19,440",64.2 %,"2,75,596",24.6%,8.0,6.0,GEN,Maharashtra,Anup Sanjay Dhotre,Bharatiya Janta Party,"18,90,814","11,73,072",62.0 %,"40,626",3.5%
Alathur,,,,,,,,,,,,10.0,9.0,SC,Kerala,P.K Biju,Communist Party Of India (MARXIST),1100843.0,830044.0,75.4 %,20960.0,2.5%,10.0,9.0,SC,Kerala,P.K.Biju,Communist Party Of India (MARXIST),1216351.0,927228.0,76.2 %,37312.0,4.0%,10.0,9.0,SC,Kerala,Ramya Haridas,Indian National Congress,"12,19,063","10,18,743",84.2 %,"1,58,968",15.6%,10.0,9.0,SC,Kerala,K.Radhakrishnan,Communist Party Of India (Marxist),"13,37,496","9,92,268",74.2 %,"20,111",2.0%
