,State_2004,Party_2004,Electors_2004,Votes_2004,Turnout_2004,Margin_2004,Margin %_2004,State_2009,Party_2009,Electors_2009,Votes_2009,Turnout_2009,Margin_2009,Margin %_2009,State_2014,Party_2014,Electors_2014,Votes_2014,Turnout_2014,Margin_2014,Margin %_2014,State_2019,Party_2019,Electors_2019,Votes_2019,Turnout_2019,Margin_2019,Margin %_2019,State_2024,Party_2024,Electors_2024,Votes_2024,Turnout_2024,Margin_2024,Margin %_2024
Adilabad,0,0,1140834.0,830601.0,72.8,40974.0,4.9,0,28,1131211.0,863248.0,76.3,115087.0,13.3,31,0,1386233.0,1045839.0,75.4,171290.0,16.4,31,2,1382837.0,1063730.0,77.9,58560.0,5.5,31,2,1650175.0,1235597.0,74.9,90652.0,7.3
Agra,1,1,1430713.0,642675.0,44.9,57342.0,8.9,1,2,1539683.0,648793.0,42.1,9715.0,1.5,1,2,1814739.0,1070400.0,59.0,300263.0,28.1,1,2,1866262.0,1145323.0,61.7,211546.0,18.5,1,2,2072685.0,1123779.0,54.2,271294.0,24.1
Ajmer,2,2,1203803.0,529138.0,44.0,127976.0,24.2,2,4,1455339.0,771272.0,53.0,76135.0,9.9,2,2,1683292.0,1156314.0,68.7,171983.0,14.9,2,2,1844532.0,1262214.0,69.0,416424.0,33.0,2,2,1995699.0,1201179.0,60.2,329991.0,27.5
Akbarpur,1,3,1446088.0,741543.0,51.3,58269.0,7.9,1,4,1461050.0,637264.0,43.6,32043.0,5.0,1,2,1768623.0,971375.0,54.9,278997.0,28.7,1,2,1714490.0,1025314.0,60.3,275142.0,26.8,1,2,1869167.0,1086953.0,58.2,44345.0,4.1
Akola,3,2,1271055.0,734524.0,57.8,106371.0,14.5,3,2,1480606.0,740014.0,50.0,64848.0,8.8,3,2,1646463.0,978491.0,59.4,203116.0,20.8,3,2,1757645.0,1119440.0,64.2,275596.0,24.6,3,2,1890814.0,1173072.0,62.0,40626.0,3.5
Aligarh,1,4,1341254.0,633500.0,47.2,2791.0,0.4,1,3,1345351.0,694110.0,51.6,16557.0,2.4,1,2,1793126.0,1064357.0,59.4,286736.0,26.9,1,2,1847005.0,1163184.0,63.3,229261.0,19.7,1,2,1997234.0,1133366.0,56.7,15647.0,1.4
Alipurduars,4,5,1045042.0,837257.0,80.1,145124.0,17.3,4,5,1229301.0,934622.0,76.0,112822.0,12.1,4,32,1470911.0,1223566.0,83.2,21397.0,1.7,4,2,1527563.0,1380217.0,91.7,243989.0,17.7,4,2,1773252.0,1421389.0,80.2,75447.0,5.3
Allahabad,1,1,1558094.0,656450.0,42.1,28383.0,4.3,1,1,1267492.0,550220.0,43.4,34920.0,6.3,1,2,1666569.0,891582.0,53.5,62009.0,7.0,1,2,1679883.0,889056.0,53.4,184275.0,20.7,1,4,1825730.0,947000.0,51.9,58795.0,6.2
Almora,5,2,1012756.0,504756.0,49.8,10052.0,2.0,5,4,1057379.0,481891.0,45.6,6950.0,1.4,5,2,1254328.0,656525.0,52.3,95690.0,14.6,5,2,1287611.0,694472.0,55.1,232986.0,33.5,5,2,1339327.0,668497.0,49.9,234097.0,35.0
Alwar,2,4,1262622.0,540451.0,42.8,8371.0,1.5,2,4,1373384.0,762306.0,55.5,156619.0,20.5,2,2,1628067.0,1062305.0,65.3,283895.0,26.7,2,2,2059180.0,1265674.0,61.7,329971.0,26.1,2,2,2059888.0,1253438.0,60.9,48282.0,3.9
Ambala,6,4,1199338.0,847673.0,70.7,234935.0,27.7,6,4,1264907.0,866507.0,68.5,14570.0,1.7,6,2,1692227.0,1218995.0,72.0,340074.0,27.9,6,2,1757524.0,1316235.0,75.3,342345.0,26.0,6,4,1996708.0,1346722.0,67.5,49036.0,3.6
Amethi,1,4,1324991.0,589559.0,44.5,290853.0,49.3,1,4,1431787.0,646653.0,45.2,370198.0,57.2,1,4,1669843.0,874625.0,52.4,107903.0,12.3,1,2,1703510.0,942453.0,55.6,55120.0,5.8,1,4,1796098.0,980671.0,54.6,167196.0,17.0
